Utility,Location,PeopleServed,ViolationPoints
Summerhill Mobile Home Park,"Crownsville, MD",350,1
Monroe Water District,"Monroe, MA",55,62
Swansea Water District,"Swansea, MA",17358,45
Chester Water Department,"Chester, MA",750,42
Hanover Water Department,"Hanover, MA",14899,35
Somerset Water Department,"Somerset, MA",18257,35
Madden Estates,"West Brookfield, MA",50,25
Springfield Water and Sewer Commission,"Springfield, MA",230331,25
Plainville Water Department,"Plainville, MA",8964,20
Strawberry Hill Apartments,"Acton, MA",80,20
Berkshire Village Cooperative,"Berkshire, MA",34,20
Dartmouth Water Division,"Dartmouth, MA",24272,20
Great Barrington Fire District,"Great Barrington, MA",4100,15
Mill River Water Takers Association,"Mill River, MA",60,15
Scituate Water Division,"Scituate, MA",19688,15
East Longmeadow DPW Water Department,"East Longmeadow, MA",16162,15
Colonial Water Company,"Dover, MA",1809,12
Falmouth Water Department,"Falmouth, MA",77500,11
Onset Fire District,"Onset, MA",5048,11
Menemsha Water Company,"Chilmark, MA",841,11
Bolton Country Manor,"Bolton, MA",60,11
Wellesley College,"Wellesley, MA",3000,10
Sports Haven Mobile Home Park,"Belchertown, MA",107,10
Uxbridge DPW Water Division,"Uxbridge, MA",10715,10
Wellfleet Municipal Water System,"Wellfleet, MA",750,10
Reading Water Department,"Reading, MA",27045,10
Marshfield Water Department,"Marshfield, MA",34000,10
South Deerfield Water Supply District,"South Deerfield, MA",3800,10
Pan Am Southern Railroad,"East Deerfield, MA",100,8
Peabody Water Department (MWRA),"Peabody, MA",52474,7
Lanesborough Fire and Water District,"Lanesborough, MA",2324,7
Waters Edge Mobile Home Community,"Adrian, MI",80,45
The Pines Of Goodrich,"Fostoria, MI",40,25
Benton Harbor,"Sebewaing, MI",9970,10
Springbrook Estates Mhc,"Orem, MI",990,7
"Omer, City of","Remus, MI",313,6
Nahma Township,"Eau Claire, MI",95,6
Southtown Mobile Home Park,"Chicago, MI",160,5
Melvindale,"Melvindale, MI",10715,5
Hermansville Housing Commission,"Hermansville, MI",36,5
Sun Meadows Apartments,"Schoolcraft, MI",98,5
Timberly Village Mobile Home Park,"Troy, MI",58,5
Hickory Lane Mobile Home Park,"Baldwin, MI",80,5
Springrove Mobile Home Community,"Davisburg, MI",1060,5
Twin Pines Mobile Home Park,"Birmingham, MI",182,4
Portage Township,"Paw Paw, MI",1214,4
White Pines Mobile Home Park,"Atlanta, MI",90,3
Alpha,"Milford, MI",198,3
Arbor Ridge Condominiums,"Vestaburg, MI",58,3
Rockland Township,"Rockland, MI",350,2
Kimball Township,"Kimball, MI",3463,2
Northern Pines,"Lansing, MI",18,2
Saline,"Saline, MI",9158,2
"Lexington, Village of","Grass Lake, MI",1178,2
Interior Township,"Homer, MI",200,2
Meadow Lake Estates Mobile Home Community,"Southfield, MI",1060,2
Silver Creek Estates Mobile Home Court,"Gladwin, MI",260,2
Sashabaw Meadows Mobile Home Park,"Orem, MI",1278,2
The Laurels of Fulton,"Westerville, MI",50,2
Forester Township,"Hastings, MI",950,2
Ford River Township,"Comstock Park, MI",385,2
Battle Lake Mobile Home Park,"Victoria, MN",31,50
Lake Lillian,"Lake Lillian, MN",236,40
Oak Manor Mobile Home Park,"Lancaster, MN",150,36
Rolling Green First Addition,"Warsaw, MN",110,20
Thompson Oaks,"Ellendale, MN",51,20
Twin Lakes,"Twin Lakes, MN",156,20
Winona,"Winona, MN",27782,15
Goodhue County Coop Electric,"Zumbrota, MN",143,15
Danube,"Danube, MN",493,10
South Saint Paul,"South St. Paul, MN",20400,10
Climax,"Climax, MN",277,7
Lazy U Community,"Medford, MN",426,6
Brook Park,"Brook Park, MN",122,5
Elysian,"Elysian, MN",656,5
Spring Lake Park,"Spring Lake Park, MN",6450,5
Askov,"Askov, MN",364,5
Stewart,"Stewart, MN",571,5
Big Sauk Lake Mobile Home Park,"Sauk Centre, MN",68,5
Darfur,"Darfur, MN",87,5
Lexington,"Lexington, MN",2068,5
Rush City,"Rush City, MN",3156,5
Skyline Village Mobile Home Park,"Inver Grove Heights, MN",1185,5
Glenville,"Glenville, MN",670,5
Austin Mobile Home Park,"Austin, MN",59,2
Bel Clare Estates,"St. Cloud, MN",750,2
Spring Valley,"Spring Valley, MN",2580,2
Clear Lake,"Clear Lake, MN",525,2
Meadowlands,"Meadowlands, MN",134,2
Empire Rentals LLC,"Hastings, MN",53,2
Bowlus,"Bowlus, MN",300,2
Truelight Redevelopment Grp #2,"Anguilla, MS",541,61
North Benton W/a,"Lamar, MS",388,40
South Central Water Assn,"Raymond, MS",11930,40
North Hinds W/a #2-chapel Hill,"Flora, MS",1536,35
City of Jackson,"Jackson, MS",156959,35
Town of Doddsville,"Doddsville, MS",215,31
L & F Water Association,"Morton, MS",1518,25
Town of Coahoma,"Coahoma, MS",325,21
Hermanville Water Association,"Hermanville, MS",1335,21
Moore Bayou W/a #3,"Marks, MS",378,20
Arlington W/a-hintonville,"Beaumont, MS",488,17
Culkin Water District,"Vicksburg, MS",11135,15
Asl Water Association,"Sarah, MS",710,12
Midway W/a #1,"Benton, MS",600,11
Cumberland Water Association #1,"Maben, MS",658,11
Delta Rain - Wellsgate,"Baton Rouge, MS",1441,10
Bluff Creek Mobile Home Park,"Gautier, MS",66,10
Burleson Mobile Home Park,"Tupelo, MS",184,10
Town of Metcalfe,"Metcalfe, MS",1067,10
Town of Utica,"Utica, MS",856,9
Reedtown Water Association,"Utica, MS",5040,9
St. Mary of The Pines,"Osyka, MS",36,7
C S & I Water Association #1,"Port Gibson, MS",910,7
Ccm Water Association,"Okolona, MS",359,7
G T & Y Water District Inc.,"Grenada, MS",3672,5
Hancock County Water & Sewer,"Kiln, MS",3138,5
Days Water Association,"Nesbit, MS",2563,5
Fmh Water Association #1,"Shaw, MS",2778,5
Village of Gattman,"Gattman, MS",1513,5
City of Ridgeland,"Ridgeland, MS",24047,5
Lanagan PWS,"Lanagan, MO",417,96
Ozark County Public Water Supply District 1,"Theodosia, MO",243,85
Mosby PWS,"Mosby, MO",194,51
New Franklin PWS,"New Franklin, MO",1089,45
Archie PWS,"Archie, MO",1180,35
Cooper County Consolidated Public Water Supply District # 1,"Boonville, MO",2451,35
Arrow Rock PWS,"Arrow Rock, MO",54,26
Ripley County Public Water Supply District 1 West,"Doniphan, MO",960,20
Mercer PWS,"Mercer, MO",318,15
Emma PWS,"Emma, MO",205,15
Ozark Park Estates,"Branson, MO",150,13
Crestview Mobile Home Park,"Sedalia, MO",72,12
Bertrand PWS,"Bertrand, MO",821,12
Doyle Apartments,"Eldon, MO",50,10
Big Lake Village of,"Craig, MO",1100,10
Ralls County Public Water Supply District 1,"Hannibal, MO",6755,10
College of The Ozarks,"Point Lookout, MO",1700,10
Stone Ridge Meadows,"Ofallon, MO",60,10
Southwest City PWS,"Southwest City, MO",976,10
Anniston PWS,"Anniston, MO",180,9
Lilbourn PWS,"Lilbourn, MO",1095,7
Stately Mansion Mobile Villa,"Rolla, MO",40,7
Holland PWS,"Holland, MO",230,7
Morehouse PWS,"Morehouse, MO",972,6
Brashear PWS,"Brashear, MO",288,6
Centertown PWS,"Centertown, MO",278,6
Sweetwater Beach Subdivision,"Eagle Rock, MO",63,6
Reynolds County Public Water Supply District 1,"Lesterville, MO",400,5
Pilot Knob Rural Water District 1 Doe Run Area,"Farmington, MO",508,5
Garden City PWS,"Garden City, MO",1642,5
"Whitehall, Town of","Whitehall, MT",1100,100
"Harlem, City of","Harlem, MT",820,97
Elk Creek Colony,"Augusta, MT",84,53
Riverview Colony,"Chester, MT",130,45
Tiber County Water District,"Conrad, MT",750,40
Tiber Service Area,"Havre, MT",200,40
Crystal Springs Water System,"Billings, MT",225,40
King Ranch Colony,"Lewistown, MT",56,36
Worden Ballantine Yellowstone,"Worden, MT",800,30
Turner Colony,"Turner, MT",55,25
Bee Hive Homes Msla Unapproved,"Missoula, MT",106,20
"White Sulphur Springs, City of","White Sulphur Springs, MT",1000,12
Kingsbury Colony,"Valier, MT",120,10
Broadwater Estates Hoa,"Helena, MT",40,10
Wegner Water Service Hauler,"Hardin, MT",50,9
Wilderness Plateau Water and Sewer District,"Troy, MT",208,7
Western Mobile Village Dillon,"Wilsall, MT",75,7
Crystal Lakes Utility Company,"Eureka, MT",85,7
Basin County Water and Sewer District,"Basin, MT",250,6
Lambert Sewer and Water Association,"Lambert, MT",150,6
Rivers Edge Mobile Park Libby,"Libby, MT",60,6
Avalon Subdivision,"Livingston, MT",135,6
Milford Colony Inc.,"Wolf Creek, MT",67,6
"Dodson, Town of","Dodson, MT",120,6
"Baker, City of","Baker, MT",1948,5
Spring Meadows County Water District,"Missoula, MT",162,5
Spring Tree Ridge,"Great Falls, MT",80,5
"Denton, Town of","Denton, MT",255,5
Bynum - Teton Co. W & S District,"Bynum, MT",65,5
Wilsall Water District,"Wilsall, MT",250,5
"Steele City, Village of","Jansen, NE",60,170
"Edgar, City of","Edgar, NE",498,160
"Ong, Village of","Ong, NE",59,160
"Martinsburg, Village of","Allen, NE",94,90
"Wauneta, Village of","Wauneta, NE",577,80
"Allen, Village of","Allen, NE",397,30
"Prosser, Village of","Prosser, NE",66,20
"Plainview, City of","Plainview, NE",1246,20
"Paxton, Village of","Paxton, NE",509,15
"St. Edward, City of","St Edward, NE",705,10
"Arapahoe, City of","Arapahoe, NE",1026,10
"Genoa, City of","Genoa, NE",940,10
"Duncan, Village of","Duncan, NE",351,10
College View Park,"Columbus, NE",150,5
"Rosalie, Village of","Rosalie, NE",180,2
Sandy Pointe Lake Development,"Lincoln, NE",75,1
"Gretna, City of","Gretna, NE",10852,1
"Broadwater, Village of","Broadwater, NE",128,1
Wood River Valley Mobile Home Park,"Kearney, NE",56,1
Desert Paradise Mobile Home Park,"San Bernardino, NV",70,100
Shoshone Estates Water Company Inc.,"Las Vegas, NV",240,95
Silver Knolls Mutual Water Company,"Verdi, NV",120,85
Mcdermitt Water System,"Winnemucca, NV",200,85
Old River Water Company,"Fallon, NV",300,38
Goldfield Town Water,"Goldfield, NV",350,15
Blue Diamond Water Co-op Inc.,"Las Vegas, NV",85,15
Holbrook Station Rv and Mobile Home Park,"Chino, NV",180,11
Carson River Estates,"Fallon, NV",90,9
Sage Valley Park Llc,"Reno`, NV",188,7
Alamo Sewer and Water Gid,"Alamo, NV",900,6
Steamboat Springs Waterworks Inc.,"Reno, NV",998,6
Southern Desert Correctional Center Ndoc,"Las Vegas, NV",6200,5
C Valley Mobile Home Park,"Pahrump, NV",54,5
Rosemount Water Company,"Reno, NV",54,5
Mount Rose Bowl Property Owners Water Co.,"Reno, NV",40,5
"Yerington, City of","Yerington, NV",5050,5
Searchlight Water Company,"Las Vegas, NV",760,5
Elk Point Country Club,"Reno, NV",325,5
Bermuda Palms Management Llc,"Las Vegas, NV",60,5
Indian Springs Water Company Inc.,"Indian Springs, NV",900,3
Dutchman Acres,"Winnemucca, NV",260,2
Jackpot Water System,"Jackpot, NV",1240,2
Primm Valley Casino Resorts,"Las Vegas, NV",1000,1
Lander County Sewer and Water District 2 Austin,"Austin, NV",350,1
Empire Mining Company,"Gerlach, NV",350,1
Oasis Mobile Home Park,"Bluffdale, NV",46,1
Virgin Valley Water District,"Mesquite, NV",18000,1
Pioche Public Utilities,"Pioche, NV",700,1
Palm Gardens Water Co-op,"Palm Gardens, NV",42,1
New Hampton Village Pct,"New Hampton, NH",600,50
Rolling Acres Mobile Home Park,"Merrimack, NH",100,30
Bitim Apartments,"Londonderry, NH",28,26
Gilford Village Water District,"Gilford, NH",130,20
West Pine Condos,"Derry, NH",60,20
Contoocook Village Pct,"Contoocook, NH",1600,20
Rolling Meadows Condos I,"Exeter, NH",80,10
Abenaki Water/white Rock Water,"Gilford, NH",238,10
Alton Water Works,"Alton, NH",1750,10
Elm Brook Village,"Contoocook, NH",90,10
Hampstead Area Water,"Atkinson, NH",2838,8
Dustin Homestead,"Rochester, NH",150,7
Westgate Estates,"Raymond, NH",115,6
Ossipee Mountains Estates,"Center Ossipee, NH",255,5
Flintlock Apartments,"Manchester, NH",30,5
Mountain View Estates,"Moultonborough, NH",38,5
Chocorua Meadows,"Chocorua, NH",53,5
Camelot III,"Derry, NH",30,5
Dearborn Ridge,"Atkinson, NH",25,5
Hopkinton Village Pct,"Hooksett, NH",215,5
Emerald Lake,"Henniker, NH",1300,5
Tyrol Well A,"Intervale, NH",44,5
Rosebrook Water,"Gilford, NH",1050,5
Camelot Court,"Atkinson, NH",45,3
Country Meadows,"New Hampton, NH",28,2
Rochester Water Department,"Rochester, NH",25000,2
Village District of Eastman,"Grantham, NH",3000,1
Wynridge Condos,"Windham, NH",58,1
Evergreen Drive Water,"Weare, NH",80,1
Country Lane Manor,"Candia, NH",85,1
Upper Deerfield Township Water Department,"Seabrook, NJ",2463,51
Manor Water Associations,"Mantua, NJ",75,33
Chapman Manufactured Housing,"Vineland, NJ",375,30
Newark Water Department,"Newark, NJ",294274,21
Mount Olive Township Water Department Pinecrest,"Budd Lake, NJ",648,19
Trenton Water Works,"Trenton, NJ",217000,17
Passaic Valley Water Commission High Crest,"Clifton, NJ",1132,15
Tips Trailer Park & Sale,"Bridgeton, NJ",450,15
Allendale Water Department,"Haworth, NJ",6702,15
Mount Olive Township Tinc Farm,"Budd Lake, NJ",597,14
Fairfield Water Department,"Fairfield, NJ",7400,13
Belleville Water Department,"Belleville, NJ",35129,12
Delilah Terrace Mobile Home Park,"Pittsford, NJ",210,11
Morris Chase/morris Hunt Pcws,"Budd Lake, NJ",1080,11
Mount Olive Township Water Department Sand,"Budd Lake, NJ",744,11
Jersey City Municipal Utilities Authority,"Hoboken, NJ",262000,11
Burlington City Water Department,"Burlington, NJ",9835,11
Swan Lake Resort,"New River, NJ",70,10
Parkwood Branch Terraces,"Vineland, NJ",885,10
Parsippany-Troy Hills Water Department,"Parsippany, NJ",50400,10
Jackson Towwship MUA,"Jackson, NJ",35424,10
Mount Olive Water Department L,"Budd Lake, NJ",57,9
Stillwater Water District 1,"Stillwater, NJ",1200,9
Hoffman Homes,"Dover, NJ",120,9
Mount Olive Township Water Department Village,"Budd Lake, NJ",3600,9
Bloomfield Water Department,"Bloomfield, NJ",47315,9
New Brunswick Water Department,"New Brunswick, NJ",55000,8
Mount Olive Township Water Department Main,"Budd Lake, NJ",7887,7
Wallington Water Department,"Wallington, NJ",11583,7
Stockton Water Department,"Stockton, NJ",650,7
Cimarron Water System,"Cimarron, NM",969,205
Cassandra Water System,"Moriaty, NM",34,205
Loma Escondida Water Association,"Albuquerque, NM",89,177
Highland Meadows Estates Mutual Domestic Water Consumers Association,"Laguna, NM",43,135
North Park Mutual Domestic Water Consumers Association,"Roswell, NM",222,130
Camino Real Regional Utility Authority,"Sunland Park, NM",17016,105
Santa Cruz Water Association,"Santa Cruz, NM",343,102
Paakweree Village Water Co-op Association Inc.,"Albuquerque, NM",126,95
French Mutual Domestic Water Consumers Association/swa,"Springer, NM",150,95
Philmont Boy Scout Ranch - Headquarters,"Cimarron, NM",2000,85
Trampas Mutual Domestic Water Consumers Association,"Chamisal, NM",132,83
Belen Water System,"Belen, NM",8102,82
Longhorn Estates Water System,"Clovis, NM",264,78
Chapelle Mdwca,"Serafina, NM",60,76
Algodones Water Users Association,"Algodones, NM",411,76
Miami Water Users Association,"Miami, NM",135,75
Ojo Caliente Mutual Domestic Water Consumers Association,"Ojo Caliente, NM",226,70
Lordsburg Water Supply System,"Lordsburg, NM",3028,61
Tularosa Water System,"Tularosa, NM",3996,58
Glorieta Camps,"Glorieta, NM",2060,41
Southwest Tiny Homes and Rv Park,"Williamsburg, NM",43,41
El Shaddai Water Co-op,"Los Lunas, NM",87,38
Anasazi Trails Water Co-op,"Placitas, NM",400,34
San Rafael Water & Sanitation District,"San Rafael, NM",963,33
Springer Water System,"Springer, NM",1363,28
Sunset Acres Water Company,"Portales, NM",247,27
Jemez Springs Dwua,"Jemez Springs, NM",1157,26
Potco Water System,"Milan, NM",100,22
Rosa Joint Ventures Water System,"Ignacio, NM",456,22
La Jara Water Users Association,"La Jara, NM",250,21
Lowville,"Lowville, NY",350,95
Lowville Village,"Lowville, NY",4350,70
Wilna T Water District 1,"Carthage, NY",240,65
L & D Mobile Home Park LLC,"Saugerties, NY",45,36
White Pines Mobile Home Park,"Oriskany, NY",49,35
Herkimer Village,"Herkimer, NY",8760,33
Dexter Village,"Dexter, NY",1100,30
Watertown City,"Watertown, NY",29406,30
Pamelia Town Water District 4 & 5,"Watertown, NY",1000,25
Brandybrook Mobile Home Court,"Durhamville, NY",42,25
Hume-sandford Water Supply,"Fillmore, NY",75,17
Yorktown Consoldated Water District #1,"Yorktown Heights, NY",68719,16
Silver Lake Institute - Castile Water District #1,", NY",440,15
Florida Village,"Florida, NY",4585,15
Barkers Mobile Home Colony,"Ontario, NY",40,13
Izzy's Apartments,", NY",28,13
Disanto Mobile Home Park,"Monticello, NY",50,12
Mount Morris Town Public Water Supply,"Mount Morris, NY",328,10
Hearthstone Manor,"Chapaqua, NY",110,10
Cohocton Village,"Cohocton, NY",854,10
Indian Hill Subdivision,"Merrick, NY",320,10
Leicester - Cuylerville Water District,"Leicester, NY",562,10
Monroe Water District #14 (orchard Hill Estates),"Monroe, NY",196,10
Pabst Water Company Inc.,"West Palm Beach, NY",250,10
Watertown Town Water District 3 & 4,"Watertown, NY",750,10
Crestwood Estates,"Stamford, NY",100,10
Tupper Lake V,"Tupper Lake, NY",5500,10
Castorland Village,"Castorland, NY",320,8
Mt. Orange Trailer Park,"Stony Point, NY",65,7
Monroe Water District #12 (monroe Hills Estates),"Monroe, NY",120,7
Orchard View Park,"Dobson, NC",109,155
Circle H Mobile Home Park,"Cherryville, NC",75,152
Carolina Manor Mobile Home Park,"Providence, NC",38,112
Ridgedale Hoa,"Candler, NC",48,55
Rockingham County 158 Corridor,"Wentworth, NC",706,20
"Kenly, Town of","Kenly, NC",1400,17
Homestead Mobile Home Park,"Durham, NC",25,14
Holly Faye Mobile Home Park,"Pineville, NC",60,12
Henderson-Kerr Lake Reg Water,"Henderson, NC",14852,11
Southern Trace S/d,"Franklin, NC",485,10
Rockingham County - 220 Corridor,"Wentworth, NC",405,10
"Atlantic Beach, Town of","Atlantic Beach, NC",6380,10
Maple Oaks Mobile Home Park,"Graham, NC",55,9
Kirk Glen S/d,"Pisgah Forest, NC",92,9
Colonial Manor Rest Home,"Rutherfordton, NC",56,8
Washburn Mobile Home Park,"Reidsville, NC",83,7
Meadowview Mobile Home Park,"Greensboro, NC",92,7
Houston House Rest Home,"Glen Alpine, NC",40,7
Buffalo Meadows S/d,"Pisgah Forest, NC",120,7
Mannsfield Condominiums,"Chapel Hill, NC",41,7
Westwood Mobile Home Park,"Monroe, NC",56,7
Hidden Forest Mobile Home Park,"Quincy, NC",470,6
"Lucama, Town of","Lucama, NC",881,6
Stanfield #3-polk Ford/renee Ford,"Stanfield, NC",503,6
The Arc of Hope Mills,"Hope Mills, NC",28,6
"Ramseur, Town of","Ramseur, NC",2893,6
Kirby`s Mobile Home Park,"Mebane, NC",60,6
Lauradale S/d,"Jacksonville, NC",2527,6
Summersill Estates No. 1,"Jacksonville, NC",163,6
Southgate Mobile Home Park,"Jacksonville, NC",94,6
R & R Trailer Court,"Tioga, ND",75,27
"Maxbass, City of","Maxbass, ND",84,8
"Oberon, City of","Oberon, ND",105,6
"Forbes, City of","Forbes, ND",53,5
"Lehr, City of","Lehr, ND",80,5
"Sykeston, City of","Sykeston, ND",117,4
"Plaza, City of","Minot, ND",171,4
"Wing, City of","Wing, ND",152,4
"Columbus, City of","Columbus, ND",133,3
"Tolna, City of","Tolna, ND",166,3
"Zeeland, City of","Zeeland, ND",86,3
"Ross, City of","Ross, ND",97,3
"Oriska, City of","Oriska, ND",118,3
"Kenmare, City of","Kenmare, ND",1096,2
East Central Regional Wd-gf,"Thompson, ND",5995,2
"Binford, City of","Binford, ND",183,2
Manning Water Board,"Manning, ND",55,2
"St. John, City of","St John, ND",341,2
"Cathay, City of","Cathay, ND",43,2
Riverview Heights,"Mandan, ND",200,2
Arnegard City Of,"Arnegard, ND",28,2
"Almont, City of","Almont, ND",122,2
"Max, City of","Max, ND",334,2
"Milton, City of","Milton, ND",58,2
"Kensal, City of","Kensal, ND",163,2
"Warwick, City of","Warwick, ND",65,2
"Willow City, City of","Willow City, ND",163,2
"Wilton, City of","Wilton, ND",711,2
"Hunter, City of","Hunter, ND",261,2
"St. Thomas, City of","St. Thomas, ND",331,2
Brunersburg Water District - Evansport,"Defiance, OH",268,91
Brunersburg Water District - Airport,"Defiance, OH",40,75
Defiance City,"Defiance, OH",16494,67
Archbold Village,"Archbold, OH",5724,35
Sebring Village Public Water System,"Sebring, OH",8100,26
Apple Creek Village Public Water System,"Apple Creek, OH",1100,14
Ivystone Water System,"Alliance, OH",30,12
West Farmington Village Public Water System,"West Farmington, OH",775,11
Pomeroy Village Public Water System,"Pomeroy, OH",1800,10
New London Village -plant 2,"New London, OH",25,10
Brook Park Estates Mobile Home Park Public Water System,"Tiffin, OH",90,10
Choctaw Utilities Inc.,"London, OH",2000,9
"South Vienna, Village of","South Vienna, OH",565,8
Springwater Gardens Condominiums PWS,"North Canton, OH",41,7
Comet Mobile Home Park,"Clinton, OH",25,7
Batavia Village Public Water System,"Batavia, OH",1509,7
St. Luke Lutheran Community - Portage La,"Akron, OH",143,6
Bethel Village Public Water System,"Bethel, OH",2732,6
Catalpa Grove Mobile Home Park,"Springfield, OH",27,6
Jewett Village,"Jewett, OH",650,6
Beth Mobile Home Park,"Canton, OH",188,6
Nelsonville Public Water System,"Nelsonville, OH",5816,6
Heather Hill Care Communities,"Canton, OH",650,6
Fairlane Water Company,"Ravenna, OH",354,6
East Canton Village Public Water System,"East Canton, OH",1400,5
Laura Village Public Water System,"Laura, OH",487,5
Rayland Village Public Water System,"Rayland, OH",434,5
Leipsic Village,"Leipsic, OH",2045,5
New Carlisle City Public Water System,"New Carlisle, OH",5735,5
Junction City,"Junction City, OH",819,5
Barnsdall,"Barnsdall, OK",1243,473
Sardis Lake Water Authority,"Clayton, OK",307,470
Wewoka Public Works Authority,"Wewoka, OK",3450,286
Grandfield,"Grandfield, OK",1110,280
Aline,"Aline, OK",214,221
Okarche Rural Water District Inc.,"Okarche, OK",250,190
Okarche,"Okarche, OK",1110,190
Geary,"Geary, OK",1258,185
Loyal,"Loyal, OK",81,181
Canadian County Rural Water District # 1,"Calumet, OK",750,180
Fairfax,"Fairfax, OK",1555,172
Major County Rural Water District #1,"Fairview, OK",1000,171
Otoe-missouria Tribe,"Red Rock, OK",250,170
Cherokee County Rural Water District #1 (Ft. Gibson),"Fort Gibson, OK",710,168
Carmen Public Works Authority,"Carmen, OK",355,164
Lakeway Mobile Home Park,"Louisville, OK",65,155
Osage County Rural Water District # 20 (hulah),"Bartlesville, OK",350,150
Walnut Park Estates,"Prue, OK",42,141
Thirsty Water Corporation,"Willow, OK",81,140
Hominy,"Hominy, OK",2584,135
Talihina PWA,"Talihina, OK",1297,133
Okmulgee,"Okmulgee, OK",13495,133
Beggs,"Beggs, OK",1364,127
Cleveland Municipal Authority,"Cleveland, OK",3262,116
Southern Okla Water Corp,"Ardmore, OK",11250,110
Canute,"Canute, OK",524,110
"Mcintosh County Rural Water, Sewer & Solid Waste Management District #2 (onapa)","Checotah, OK",2774,108
Chickasha Municipal Authority,"Chickasha, OK",16036,105
Maysville,"Maysville, OK",1212,102
Eufaula Public Works Authority,"Eufaula, OK",4462,101
Trollers Cove Water Association,"Tidewater, OR",32,101
London Water Co-op,"Cottage Grove, OR",63,78
Manzanita Hills Subdivision,"Shady Cove, OR",27,65
"Richland, City of","Richland, OR",245,55
Weiss Estates Water System,"Bandon, OR",36,49
Skyview Acres Water Company,"Sandy, OR",200,47
Midland Water Association,"Clatskanie, OR",160,41
Dexter Oaks Co-op,"Dexter, OR",75,35
"Adrian, City of","Adrian, OR",180,34
"Monroe, City of","Monroe, OR",615,32
Swisshome Village,"Swisshome, OR",36,26
Youngs River Lewis & Clark Water District,"Astoria, OR",2530,25
Bolder City Water System,"Jacksonville, OR",60,21
"Sumpter, City of","Sumpter, OR",205,20
Mcnulty Water People's Utility District,"St. Helens, OR",2500,18
"Monument, City of","Monument, OR",130,15
Laurelwood Water Users,"Gaston, OR",200,13
Tooley Water District,"Newberg, OR",42,12
Elderberry Nehalem Ws,"Seaside, OR",140,12
Paradise/rogue Meadows Ws,"Clackamas, OR",165,11
Caseys Riverside Park,"Westfir, OR",84,11
Sunset Lake Rv Park,"Redmond, OR",170,10
Glide Water Association,"Glide, OR",1200,10
Hawks Point,"Eugene, OR",75,10
Shorewood Estates,"Albany, OR",148,10
Raintree Estates,"Corvallis, OR",50,10
Young Life,"Antelope, OR",482,10
Mount Terrace Mobile Home Park,"Culver City, OR",60,10
Brewster Community Homeowners,"Salem, OR",50,10
Country Club Estates Water District,"Coos Bay, OR",45,10
Freeburg Municipal Authority,"Freeburg, PA",685,70
East Taylor Municipal Authority,"Johnstown, PA",3152,47
Jackson Township Water Authority,"Johnstown, PA",3198,35
Salem Heights Estate,"Hamlin, PA",62,33
Sproul Water Association,"Sproul, PA",180,31
Sunrise Lakes Sec 12,"Covington Twp, PA",125,30
Nelson Township Authority,"Nelson, PA",300,30
Falls Creek Borough Municipal Authority,"Falls Creek, PA",1440,30
Sunrise Lake Section 9,"Milford, PA",125,28
Sandy Hook Water Association,"Chambersburg, PA",80,26
Ebensburg Boro Muni Authority,"Ebensburg, PA",8500,26
Blacklick Valley Municipal Authority,"Twin Rocks, PA",1650,26
State Line Municipal Services Authority,"Point Marion, PA",95,25
Centerville Muni Water Authority,"Bedford, PA",78,25
Indiana Municipal Services Authority-rossiter,"Indiana, PA",500,25
Glasgow Municipal Water Works,"Midland, PA",51,25
Empire Mobile Home Park,"Bellefonte, PA",75,24
Hemlock Farms (main),"Lords Valley, PA",8321,23
Summit Management Utilities,"Lake Harmony, PA",500,23
Selinsgrove Center,"Selinsgrove, PA",1280,23
Blawnox Borough Water Department,"Pittsburgh, PA",2200,22
Choconut Creek Apartments,"Binghamton, PA",50,21
Eden Glen Village,"Lancaster, PA",80,20
Kings II Mobile Home Park,"Carrolltown, PA",55,20
Ansonville Water Authority,"Irvona, PA",55,19
Cle Inc. Forest Hills Pch,"Sidman, PA",40,19
Clarendon Acres Water Company,"Tunkhannock, PA",280,16
Country Club Apartments,"Sparta, PA",240,16
Icmsa Crooked Creek,"Indiana, PA",9638,15
Brockway Borough Municipal Authority,"Brockway, PA",4384,14
Lindhbrook Water Company,"Harwington, RI",200,7
Shady Acres Inc.,"West Kingston, RI",77,6
Canonchet Cliffs Water Association Inc.,"Hope Valley, RI",154,5
Westerly Water Department,"Westerly, RI",38000,3
"Pascoag Utility District, Water Division","Pascoag, RI",2985,2
Prudence Island Water District,"Prudence Island, RI",1500,2
Shadow Woods At Deer Brook,"Warwick, RI",300,2
Bethel Village Water Association,"Ashaway, RI",180,1
North Kingstown,"North Kingstown, RI",23568,1
Block Island Water Company,"Block Island, RI",9999,1
Paige Associates,"West Warwick, RI",120,1
South Kingstown Nursing and Rehab,"West Kingston, RI",175,1
Maplehill Mobile Home Park,"Mapleville, RI",750,1
Lawrence Sunset Cove Association,"Tiverton, RI",36,1
Siesta Cove Rv Park Marina (sc3270802),"Lexington, SC",22,31
Sandy Run Mobile Home Park,"Summerville, SC",39,30
Regency Square 2 (sc3260170),"Lexington, SC",99,7
"Monetta, Town of","Monetta, SC",974,5
Bgwc Charleswood S/d,"Greenville, SC",510,5
Sumter Co-wedgefield-stateburg Water District,"Sumter, SC",1200,5
Bgwc Peachtree Acres,"Greenville, SC",119,5
Dcws I-95,"Summerville, SC",99,5
Spartanburg Water System,"Spartanburg, SC",142671,5
Olar Govan Water System,"Olar, SC",257,3
