,Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
703,Youngs River Lewis & Clark Water District,Haloacetic acids (HAA5)†,37.7 ppb,0.1 ppb,60 ppb
704,Youngs River Lewis & Clark Water District,Nitrate,0.620 ppm,0.14 ppm,10 ppm
705,Youngs River Lewis & Clark Water District,Nitrate and nitrite,0.480 ppm,0.14 ppm,10 ppm
706,Youngs River Lewis & Clark Water District,Total trihalomethanes (TTHMs)†,54.9 ppb,0.15 ppb,80 ppb
707,Youngs River Lewis & Clark Water District,Barium,6.66 ppb,700 ppb,"2,000 ppb"
708,Youngs River Lewis & Clark Water District,Fluoride,0.536 ppm,,4 ppm
709,Youngs River Lewis & Clark Water District,Nitrite,0.0160 ppm,,1 ppm
710,Youngs River Lewis & Clark Water District,None,,,
711,Arlington City Water Supply,Arsenic,2.68 ppb,0.004 ppb,10 ppb
712,Arlington City Water Supply,Haloacetic acids (HAA5)†,2.13 ppb,0.1 ppb,60 ppb
713,Arlington City Water Supply,Total trihalomethanes (TTHMs)†,16.2 ppb,0.15 ppb,80 ppb
714,Arlington City Water Supply,Barium,33.8 ppb,700 ppb,"2,000 ppb"
715,Arlington City Water Supply,Chromium (total),1.92 ppb,,100 ppb
716,Arlington City Water Supply,Fluoride,1.42 ppm,,4 ppm
717,Arlington City Water Supply,Uranium,0.79 pCi/L,0.43 pCi/L,20 pCi/L
718,Arlington City Water Supply,None,,,
719,Condon Heights Ws,Nitrate,2.03 ppm,0.14 ppm,10 ppm
720,Condon Heights Ws,None,,,
721,"Condon, City of",Arsenic,1.43 ppb,0.004 ppb,10 ppb
722,"Condon, City of",Cadmium,0.600 ppb,0.04 ppb,5 ppb
723,"Condon, City of",Haloacetic acids (HAA5)†,3.69 ppb,0.1 ppb,60 ppb
724,"Condon, City of",Nitrate,2.28 ppm,0.14 ppm,10 ppm
725,"Condon, City of",Nitrate and nitrite,2.22 ppm,0.14 ppm,10 ppm
726,"Condon, City of",Total trihalomethanes (TTHMs)†,14.4 ppb,0.15 ppb,80 ppb
727,"Condon, City of",Uranium,1.34 pCi/L,0.43 pCi/L,20 pCi/L
728,"Condon, City of",Barium,10.1 ppb,700 ppb,"2,000 ppb"
729,"Condon, City of",Fluoride,0.383 ppm,,4 ppm
730,"Condon, City of",Selenium,0.450 ppb,30 ppb,50 ppb
731,"Condon, City of",None,,,
732,Medford Water Commission,Chromium (hexavalent),0.159 ppb,0.02 ppb,
733,Medford Water Commission,Haloacetic acids (HAA5)†,6.11 ppb,0.1 ppb,60 ppb
734,Medford Water Commission,Haloacetic acids (HAA9)†,6.03 ppb,0.06 ppb,
735,Medford Water Commission,Total trihalomethanes (TTHMs)†,7.97 ppb,0.15 ppb,80 ppb
736,Medford Water Commission,Barium,3.57 ppb,700 ppb,"2,000 ppb"
737,Medford Water Commission,Chlorate,202.3 ppb,210 ppb,
738,Medford Water Commission,Chromium (total),0.180 ppb,,100 ppb
739,Medford Water Commission,Manganese,1.31 ppb,100 ppb,
740,Medford Water Commission,Strontium,0.0624 ppb,"1,500 ppb",
741,Medford Water Commission,Vanadium,7.50 ppb,21 ppb,
742,Medford Water Commission,None,,,
743,Ashland Water Department,Bromodichloromethane,0.533 ppb,0.06 ppb,
744,Ashland Water Department,Dibromochloromethane,0.658 ppb,0.1 ppb,
745,Ashland Water Department,Haloacetic acids (HAA9)†,0.235 ppb,0.06 ppb,
746,Ashland Water Department,Nitrate,0.613 ppm,0.14 ppm,10 ppm
747,Ashland Water Department,"Radium, combined (-226 &amp; -228)",1.00 pCi/L,0.05 pCi/L,5 pCi/L
748,Ashland Water Department,Total trihalomethanes (TTHMs)†,2.07 ppb,0.15 ppb,80 ppb
749,Ashland Water Department,Barium,25.0 ppb,700 ppb,"2,000 ppb"
750,Ashland Water Department,Bromoform,0.388 ppb,0.5 ppb,
751,Ashland Water Department,Chloroform,0.148 ppb,0.4 ppb,
752,Ashland Water Department,Manganese,5.32 ppb,100 ppb,
753,Ashland Water Department,Uranium,0.13 pCi/L,0.43 pCi/L,20 pCi/L
754,Ashland Water Department,None,,,
755,City of Central Point,Chromium (hexavalent),0.193 ppb,0.02 ppb,
756,City of Central Point,Haloacetic acids (HAA5)†,3.68 ppb,0.1 ppb,60 ppb
757,City of Central Point,Haloacetic acids (HAA9)†,11.7 ppb,0.06 ppb,
758,City of Central Point,Total trihalomethanes (TTHMs)†,8.55 ppb,0.15 ppb,80 ppb
759,City of Central Point,Barium*,3.57 ppb,700 ppb,"2,000 ppb"
760,City of Central Point,Chlorate,68.5 ppb,210 ppb,
761,City of Central Point,Chromium (total),0.0800 ppb,,100 ppb
762,City of Central Point,Manganese,62.6 ppb,100 ppb,
763,City of Central Point,Strontium,0.0589 ppb,"1,500 ppb",
764,City of Central Point,Vanadium,7.83 ppb,21 ppb,
765,City of Central Point,None,,,
766,"Eagle Point, City of",Chromium (hexavalent)*,0.159 ppb,0.02 ppb,
767,"Eagle Point, City of",Haloacetic acids (HAA5)†,20.0 ppb,0.1 ppb,60 ppb
768,"Eagle Point, City of",Haloacetic acids (HAA9)*†,6.03 ppb,0.06 ppb,
769,"Eagle Point, City of",Total trihalomethanes (TTHMs)†,24.0 ppb,0.15 ppb,80 ppb
770,"Eagle Point, City of",Barium*,3.57 ppb,700 ppb,"2,000 ppb"
771,"Eagle Point, City of",Chlorate*,202.3 ppb,210 ppb,
772,"Eagle Point, City of",Chromium (total)*,0.180 ppb,,100 ppb
773,"Eagle Point, City of",Manganese*,1.31 ppb,100 ppb,
774,"Eagle Point, City of",Strontium*,0.0624 ppb,"1,500 ppb",
775,"Eagle Point, City of",Vanadium*,7.50 ppb,21 ppb,
776,"Talent, City of",Chromium (hexavalent)*,0.159 ppb,0.02 ppb,
777,"Talent, City of",Haloacetic acids (HAA5)†,0.435 ppb,0.1 ppb,60 ppb
778,"Talent, City of",Haloacetic acids (HAA9)*†,6.03 ppb,0.06 ppb,
779,"Talent, City of",Total trihalomethanes (TTHMs)†,4.80 ppb,0.15 ppb,80 ppb
780,"Talent, City of",Barium*,3.57 ppb,700 ppb,"2,000 ppb"
781,"Talent, City of",Chlorate*,202.3 ppb,210 ppb,
782,"Talent, City of",Chromium (total)*,0.180 ppb,,100 ppb
783,"Talent, City of",Manganese*,1.31 ppb,100 ppb,
784,"Talent, City of",Strontium*,0.0624 ppb,"1,500 ppb",
785,"Talent, City of",Vanadium*,7.50 ppb,21 ppb,
786,"Talent, City of",None,,,
787,"Phoenix, City of",Chromium (hexavalent)*,0.159 ppb,0.02 ppb,
788,"Phoenix, City of",Haloacetic acids (HAA5)†,0.932 ppb,0.1 ppb,60 ppb
789,"Phoenix, City of",Total trihalomethanes (TTHMs)†,2.05 ppb,0.15 ppb,80 ppb
790,"Phoenix, City of",Barium*,3.57 ppb,700 ppb,"2,000 ppb"
791,"Phoenix, City of",Chlorate*,202.3 ppb,210 ppb,
792,"Phoenix, City of",Chromium (total)*,0.180 ppb,,100 ppb
793,"Phoenix, City of",Haloacetic acids (HAA9)†,0.0975 ppb,0.06 ppb,
794,"Phoenix, City of",Manganese*,1.31 ppb,100 ppb,
795,"Phoenix, City of",Strontium*,0.0624 ppb,"1,500 ppb",
796,"Phoenix, City of",Vanadium*,7.50 ppb,21 ppb,
797,"Phoenix, City of",None,,,
798,"Jacksonville, City of",Chromium (hexavalent)*,0.159 ppb,0.02 ppb,
799,"Jacksonville, City of",Haloacetic acids (HAA5)†,3.25 ppb,0.1 ppb,60 ppb
800,"Jacksonville, City of",Haloacetic acids (HAA9)*†,6.03 ppb,0.06 ppb,
801,"Jacksonville, City of",Total trihalomethanes (TTHMs)†,5.79 ppb,0.15 ppb,80 ppb
802,"Jacksonville, City of",Barium*,3.57 ppb,700 ppb,"2,000 ppb"
803,"Jacksonville, City of",Chlorate*,202.3 ppb,210 ppb,
804,"Jacksonville, City of",Chromium (total)*,0.180 ppb,,100 ppb
805,"Jacksonville, City of",Manganese*,1.31 ppb,100 ppb,
806,"Jacksonville, City of",Strontium*,0.0624 ppb,"1,500 ppb",
807,"Jacksonville, City of",Vanadium*,7.50 ppb,21 ppb,
808,"Rogue River, City of",Arsenic,2.12 ppb,0.004 ppb,10 ppb
809,"Rogue River, City of",Haloacetic acids (HAA5)†,19.1 ppb,0.1 ppb,60 ppb
810,"Rogue River, City of",Nitrate,0.572 ppm,0.14 ppm,10 ppm
811,"Rogue River, City of",Nitrate and nitrite,1.03 ppm,0.14 ppm,10 ppm
812,"Rogue River, City of",Total trihalomethanes (TTHMs)†,30.7 ppb,0.15 ppb,80 ppb
813,"Rogue River, City of",Barium,3.87 ppb,700 ppb,"2,000 ppb"
814,"Rogue River, City of",Uranium,0.11 pCi/L,0.43 pCi/L,20 pCi/L
815,"Rogue River, City of",None,,,
816,"Gold Hill, City of",Haloacetic acids (HAA5)†,25.1 ppb,0.1 ppb,60 ppb
817,"Gold Hill, City of","Radium, combined (-226 &amp; -228)",0.21 pCi/L,0.05 pCi/L,5 pCi/L
818,"Gold Hill, City of",Total trihalomethanes (TTHMs)†,29.1 ppb,0.15 ppb,80 ppb
819,"Gold Hill, City of",Barium,5.41 ppb,700 ppb,"2,000 ppb"
820,"Gold Hill, City of",Nitrate,0.134 ppm,0.14 ppm,10 ppm
821,"Gold Hill, City of",None,,,
822,Hiland Water Company - Bear Creek,Haloacetic acids (HAA5)†,0.780 ppb,0.1 ppb,60 ppb
823,Hiland Water Company - Bear Creek,Nitrate,0.309 ppm,0.14 ppm,10 ppm
824,Hiland Water Company - Bear Creek,Total trihalomethanes (TTHMs)†,3.72 ppb,0.15 ppb,80 ppb
825,Hiland Water Company - Bear Creek,Barium,8.27 ppb,700 ppb,"2,000 ppb"
826,Hiland Water Company - Bear Creek,Chromium (total),0.423 ppb,,100 ppb
827,Hiland Water Company - Bear Creek,Fluoride,0.187 ppm,,4 ppm
828,Hiland Water Company - Bear Creek,Nitrate and nitrite,0.176 ppm,0.14 ppm,10 ppm
829,Hiland Water Company - Bear Creek,Nitrite,0.00648 ppm,,1 ppm
830,Hiland Water Company - Bear Creek,Toluene,0.492 ppb,150 ppb,"1,000 ppb"
831,Hiland Water Company - Bear Creek,None,,,
832,Salem Public Works,Chromium (hexavalent),0.0653 ppb,0.02 ppb,
833,Salem Public Works,Haloacetic acids (HAA5)†,34.0 ppb,0.1 ppb,60 ppb
834,Salem Public Works,Haloacetic acids (HAA9)†,32.7 ppb,0.06 ppb,
835,Salem Public Works,Total trihalomethanes (TTHMs)†,35.9 ppb,0.15 ppb,80 ppb
836,Salem Public Works,"2,4-D",0.0105 ppb,20 ppb,70 ppb
837,Salem Public Works,Barium,1.19 ppb,700 ppb,"2,000 ppb"
838,Salem Public Works,Chlorate,95.0 ppb,210 ppb,
839,Salem Public Works,Chromium (total),0.0300 ppb,,100 ppb
840,Salem Public Works,Fluoride,0.462 ppm,,4 ppm
841,Salem Public Works,Hexachlorocyclopentadiene,0.00407 ppb,2 ppb,50 ppb
842,Salem Public Works,Nitrate,0.0215 ppm,0.14 ppm,10 ppm
843,Salem Public Works,Nitrate and nitrite,0.0215 ppm,0.14 ppm,10 ppm
844,Salem Public Works,"Radium, combined (-226 &amp; -228)",0.09 pCi/L,0.05 pCi/L,5 pCi/L
845,Salem Public Works,Strontium,0.0228 ppb,"1,500 ppb",
846,Salem Public Works,Vanadium,1.32 ppb,21 ppb,
847,Salem Public Works,None,,,
848,City of Keizer,Arsenic,1.30 ppb,0.004 ppb,10 ppb
849,City of Keizer,Manganese,206.5 ppb,100 ppb,
850,City of Keizer,"Radium, combined (-226 &amp; -228)",0.20 pCi/L,0.05 pCi/L,5 pCi/L
851,City of Keizer,Tetrachloroethylene (perchloroethylene),0.346 ppb,0.06 ppb,5 ppb
852,City of Keizer,Chlorodifluoromethane,0.0693 ppb,,
853,City of Keizer,Chromium (hexavalent),0.0106 ppb,0.02 ppb,
854,City of Keizer,Chromium (total),0.0109 ppb,,100 ppb
855,City of Keizer,Fluoride,0.180 ppm,,4 ppm
856,City of Keizer,Germanium,0.01000 ppb,,
857,City of Keizer,Molybdenum,0.845 ppb,40 ppb,
858,City of Keizer,Nitrate,0.264 ppm,0.14 ppm,10 ppm
859,City of Keizer,Nitrate and nitrite,0.158 ppm,0.14 ppm,10 ppm
860,City of Keizer,Strontium,0.114 ppb,"1,500 ppb",
861,City of Keizer,Toluene,0.00948 ppb,150 ppb,"1,000 ppb"
862,City of Keizer,Trichloroethylene,0.706 ppb,0.4 ppb,5 ppb
863,City of Keizer,Vanadium,0.543 ppb,21 ppb,
864,City of Keizer,None,,,
865,City of Woodburn,Arsenic,5.00 ppb,0.004 ppb,10 ppb
866,City of Woodburn,Haloacetic acids (HAA5)†,3.17 ppb,0.1 ppb,60 ppb
867,City of Woodburn,Haloacetic acids (HAA9)†,1.60 ppb,0.06 ppb,
868,City of Woodburn,Total trihalomethanes (TTHMs)†,1.73 ppb,0.15 ppb,80 ppb
869,City of Woodburn,Barium,2.22 ppb,700 ppb,"2,000 ppb"
870,City of Woodburn,Chlorate,274.0 ppb,210 ppb,
871,City of Woodburn,Chromium (hexavalent),0.00367 ppb,0.02 ppb,
872,City of Woodburn,Fluoride,0.343 ppm,,4 ppm
873,City of Woodburn,Manganese,15.5 ppb,100 ppb,
874,City of Woodburn,Molybdenum,1.74 ppb,40 ppb,
875,City of Woodburn,Nitrate,0.00538 ppm,0.14 ppm,10 ppm
876,City of Woodburn,Nitrate and nitrite,0.00847 ppm,0.14 ppm,10 ppm
877,City of Woodburn,Nitrite,0.00847 ppm,,1 ppm
878,City of Woodburn,Strontium,0.114 ppb,"1,500 ppb",
879,City of Woodburn,None,,,
880,Suburban East Salem WD,Chromium (hexavalent),0.0551 ppb,0.02 ppb,
881,Suburban East Salem WD,Haloacetic acids (HAA5)†,31.4 ppb,0.1 ppb,60 ppb
882,Suburban East Salem WD,Haloacetic acids (HAA9)†,34.4 ppb,0.06 ppb,
883,Suburban East Salem WD,Total trihalomethanes (TTHMs)†,29.5 ppb,0.15 ppb,80 ppb
884,Suburban East Salem WD,"2,4-D*",0.0105 ppb,20 ppb,70 ppb
885,Suburban East Salem WD,Barium*,1.19 ppb,700 ppb,"2,000 ppb"
886,Suburban East Salem WD,Chlorate,107.3 ppb,210 ppb,
887,Suburban East Salem WD,Chromium (total),0.0657 ppb,,100 ppb
888,Suburban East Salem WD,Fluoride,0.328 ppm,,4 ppm
889,Suburban East Salem WD,Hexachlorocyclopentadiene*,0.00407 ppb,2 ppb,50 ppb
890,Suburban East Salem WD,Nitrate*,0.0215 ppm,0.14 ppm,10 ppm
891,Suburban East Salem WD,Nitrate and nitrite*,0.0215 ppm,0.14 ppm,10 ppm
892,Suburban East Salem WD,"Radium, combined (-226 &amp; -228)*",0.09 pCi/L,0.05 pCi/L,5 pCi/L
893,Suburban East Salem WD,Strontium,0.0257 ppb,"1,500 ppb",
894,Suburban East Salem WD,Vanadium,1.38 ppb,21 ppb,
895,Suburban East Salem WD,None,,,
896,"Silverton, City of",Haloacetic acids (HAA5)†,4.88 ppb,0.1 ppb,60 ppb
897,"Silverton, City of","Radium, combined (-226 &amp; -228)",0.70 pCi/L,0.05 pCi/L,5 pCi/L
898,"Silverton, City of",Total trihalomethanes (TTHMs)†,7.92 ppb,0.15 ppb,80 ppb
899,"Silverton, City of",Nitrate,0.271 ppm,0.14 ppm,10 ppm
900,"Silverton, City of",None,,,
901,Stayton Water Supply,Haloacetic acids (HAA5)†,20.6 ppb,0.1 ppb,60 ppb
902,Stayton Water Supply,Total trihalomethanes (TTHMs)†,22.5 ppb,0.15 ppb,80 ppb
903,Stayton Water Supply,None,,,
904,"Mount Angel, City of","Radium, combined (-226 &amp; -228)",1.00 pCi/L,0.05 pCi/L,5 pCi/L
905,"Mount Angel, City of",Uranium,1.34 pCi/L,0.43 pCi/L,20 pCi/L
906,"Mount Angel, City of",Fluoride,0.134 ppm,,4 ppm
907,"Mount Angel, City of",Nitrate,0.0384 ppm,0.14 ppm,10 ppm
908,"Mount Angel, City of",None,,,
909,"Aumsville, City of",Arsenic,3.60 ppb,0.004 ppb,10 ppb
910,"Aumsville, City of",Haloacetic acids (HAA5)†,1.37 ppb,0.1 ppb,60 ppb
911,"Aumsville, City of",Nitrate,0.659 ppm,0.14 ppm,10 ppm
912,"Aumsville, City of","Radium, combined (-226 &amp; -228)",0.80 pCi/L,0.05 pCi/L,5 pCi/L
913,"Aumsville, City of",Total trihalomethanes (TTHMs)†,7.99 ppb,0.15 ppb,80 ppb
914,"Aumsville, City of",None,,,
915,"Hubbard, City of",Arsenic,9.20 ppb,0.004 ppb,10 ppb
916,"Hubbard, City of",Nitrate and nitrite,0.328 ppm,0.14 ppm,10 ppm
917,"Hubbard, City of",Nitrate,0.155 ppm,0.14 ppm,10 ppm
918,"Hubbard, City of",Total trihalomethanes (TTHMs)†,0.0333 ppb,0.15 ppb,80 ppb
919,"Hubbard, City of",None,,,
920,"Sublimity, City of",Total trihalomethanes (TTHMs)†,0.320 ppb,0.15 ppb,80 ppb
921,"Sublimity, City of",Asbestos,0.12 MFL,,7 MFL
922,"Sublimity, City of",Fluoride,0.229 ppm,,4 ppm
923,"Sublimity, City of",None,,,
924,North Clackamas County Water Commission,Haloacetic acids (HAA5)†,14.0 ppb,0.1 ppb,60 ppb
925,North Clackamas County Water Commission,Total trihalomethanes (TTHMs)†,16.0 ppb,0.15 ppb,80 ppb
926,North Clackamas County Water Commission,Barium,1.77 ppb,700 ppb,"2,000 ppb"
927,North Clackamas County Water Commission,Nitrate,0.190 ppm,0.14 ppm,10 ppm
928,North Clackamas County Water Commission,Nitrate and nitrite,0.0720 ppm,0.14 ppm,10 ppm
929,North Clackamas County Water Commission,Nitrite,0.00778 ppm,,1 ppm
930,North Clackamas County Water Commission,None,,,
931,South Fork Water Board,Haloacetic acids (HAA5)†,21.6 ppb,0.1 ppb,60 ppb
932,South Fork Water Board,Nitrate,0.286 ppm,0.14 ppm,10 ppm
933,South Fork Water Board,Total trihalomethanes (TTHMs)†,29.8 ppb,0.15 ppb,80 ppb
934,South Fork Water Board,Barium,2.89 ppb,700 ppb,"2,000 ppb"
935,South Fork Water Board,Fluoride,0.0286 ppm,,4 ppm
936,South Fork Water Board,Nitrate and nitrite,0.250 ppm,0.14 ppm,10 ppm
937,South Fork Water Board,None,,,
938,Camano Sunrise Water Association #1,Arsenic,7.40 ppb,0.004 ppb,10 ppb
939,Camano Sunrise Water Association #1,Nitrate,0.762 ppm,0.14 ppm,10 ppm
940,Camano Sunrise Water Association #1,Nitrate and nitrite,0.790 ppm,0.14 ppm,10 ppm
941,Camano Sunrise Water Association #1,Fluoride,0.400 ppm,,4 ppm
942,Camano Sunrise Water Association #1,Manganese,24.0 ppb,100 ppb,
943,Camano Sunrise Water Association #1,None,,,
944,Clackamas River Water - Clackamas,Chromium (hexavalent),0.0843 ppb,0.02 ppb,
945,Clackamas River Water - Clackamas,Haloacetic acids (HAA5)†,26.0 ppb,0.1 ppb,60 ppb
946,Clackamas River Water - Clackamas,Haloacetic acids (HAA9)†,28.5 ppb,0.06 ppb,
947,Clackamas River Water - Clackamas,Total trihalomethanes (TTHMs)†,33.8 ppb,0.15 ppb,80 ppb
948,Clackamas River Water - Clackamas,Barium,2.47 ppb,700 ppb,"2,000 ppb"
949,Clackamas River Water - Clackamas,Chlorate,101.4 ppb,210 ppb,
950,Clackamas River Water - Clackamas,Fluoride,0.0267 ppm,,4 ppm
951,Clackamas River Water - Clackamas,Manganese,0.313 ppb,100 ppb,
952,Clackamas River Water - Clackamas,Nitrate,0.249 ppm,0.14 ppm,10 ppm
953,Clackamas River Water - Clackamas,Nitrate and nitrite,0.181 ppm,0.14 ppm,10 ppm
954,Clackamas River Water - Clackamas,Nitrite,0.0134 ppm,,1 ppm
955,Clackamas River Water - Clackamas,Strontium,0.0381 ppb,"1,500 ppb",
956,Clackamas River Water - Clackamas,Vanadium,0.910 ppb,21 ppb,
957,Clackamas River Water - Clackamas,None,,,
958,Lake Oswego Municipal Water,Chromium (hexavalent),0.0925 ppb,0.02 ppb,
959,Lake Oswego Municipal Water,Haloacetic acids (HAA5)†,12.7 ppb,0.1 ppb,60 ppb
960,Lake Oswego Municipal Water,Haloacetic acids (HAA9)†,6.79 ppb,0.06 ppb,
961,Lake Oswego Municipal Water,Total trihalomethanes (TTHMs)†,18.2 ppb,0.15 ppb,80 ppb
962,Lake Oswego Municipal Water,Barium,4.00 ppb,700 ppb,"2,000 ppb"
963,Lake Oswego Municipal Water,Bromate,0.135 ppb,0.1 ppb,10 ppb
964,Lake Oswego Municipal Water,Chlorate,123.3 ppb,210 ppb,
965,Lake Oswego Municipal Water,Chromium (total),0.0326 ppb,,100 ppb
966,Lake Oswego Municipal Water,Manganese,0.990 ppb,100 ppb,
967,Lake Oswego Municipal Water,Nitrate,0.0733 ppm,0.14 ppm,10 ppm
968,Lake Oswego Municipal Water,Strontium,0.0333 ppb,"1,500 ppb",
969,Lake Oswego Municipal Water,Vanadium,0.560 ppb,21 ppb,
970,Lake Oswego Municipal Water,None,,,
971,Oregon City,Bromodichloromethane,10.8 ppb,0.06 ppb,
972,Oregon City,Chlorite,123.7 ppb,50 ppb,"1,000 ppb"
973,Oregon City,Chloroform,32.3 ppb,0.4 ppb,
974,Oregon City,Chromium (hexavalent),0.169 ppb,0.02 ppb,
975,Oregon City,Dibromoacetic acid,1.38 ppb,0.04 ppb,
976,Oregon City,Dibromochloromethane,4.87 ppb,0.1 ppb,
977,Oregon City,Dichloroacetic acid,9.70 ppb,0.2 ppb,
978,Oregon City,Haloacetic acids (HAA5)†,13.5 ppb,0.1 ppb,60 ppb
979,Oregon City,Haloacetic acids (HAA9)†,19.8 ppb,0.06 ppb,
980,Oregon City,Nitrate,1.57 ppm,0.14 ppm,10 ppm
981,Oregon City,Nitrate and nitrite,1.58 ppm,0.14 ppm,10 ppm
982,Oregon City,Total trihalomethanes (TTHMs)†,48.3 ppb,0.15 ppb,80 ppb
983,Oregon City,Trichloroacetic acid,2.06 ppb,0.1 ppb,
984,Oregon City,2-Methoxyethanol,0.898 ppb,,
985,Oregon City,Atrazine,0.121 ppb,0.1 ppb,3 ppb
986,Oregon City,Barium,10.8 ppb,700 ppb,"2,000 ppb"
987,Oregon City,Bromoform,0.554 ppb,0.5 ppb,
988,Oregon City,Chlorate,22.8 ppb,210 ppb,
989,Oregon City,Chromium (total),0.114 ppb,,100 ppb
990,Oregon City,Fluoride,0.865 ppm,,4 ppm
991,Oregon City,Molybdenum,2.06 ppb,40 ppb,
992,Oregon City,Monochloroacetic acid,0.368 ppb,53 ppb,
993,Oregon City,Nitrite,0.00243 ppm,,1 ppm
994,Oregon City,Simazine,0.01000 ppb,0.1 ppb,4 ppb
995,Oregon City,Strontium,0.145 ppb,"1,500 ppb",
996,Oregon City,Vanadium,0.625 ppb,21 ppb,
997,Oregon City,None,,,
998,Oak Lodge Water District,Chromium (hexavalent),0.0833 ppb,0.02 ppb,
999,Oak Lodge Water District,Haloacetic acids (HAA5)†,27.6 ppb,0.1 ppb,60 ppb
1000,Oak Lodge Water District,Haloacetic acids (HAA9)†,38.2 ppb,0.06 ppb,
1001,Oak Lodge Water District,Total trihalomethanes (TTHMs)†,35.3 ppb,0.15 ppb,80 ppb
1002,Oak Lodge Water District,Barium*,1.77 ppb,700 ppb,"2,000 ppb"
1003,Oak Lodge Water District,Chlorate,44.0 ppb,210 ppb,
1004,Oak Lodge Water District,Chromium (total),0.165 ppb,,100 ppb
1005,Oak Lodge Water District,Manganese,0.368 ppb,100 ppb,
1006,Oak Lodge Water District,Nitrate*,0.190 ppm,0.14 ppm,10 ppm
1007,Oak Lodge Water District,Nitrate and nitrite*,0.0720 ppm,0.14 ppm,10 ppm
1008,Oak Lodge Water District,Nitrite*,0.00778 ppm,,1 ppm
1009,Oak Lodge Water District,Strontium,0.0385 ppb,"1,500 ppb",
1010,Oak Lodge Water District,Vanadium,1.24 ppb,21 ppb,
1011,Oak Lodge Water District,None,,,
1012,City of West Linn,Chromium (hexavalent),0.142 ppb,0.02 ppb,
1013,City of West Linn,Haloacetic acids (HAA5)†,33.4 ppb,0.1 ppb,60 ppb
1014,City of West Linn,Haloacetic acids (HAA9)†,39.9 ppb,0.06 ppb,
1015,City of West Linn,Nitrate*,0.286 ppm,0.14 ppm,10 ppm
1016,City of West Linn,Total trihalomethanes (TTHMs)†,35.3 ppb,0.15 ppb,80 ppb
1017,City of West Linn,Barium*,2.89 ppb,700 ppb,"2,000 ppb"
1018,City of West Linn,Chlorate,53.5 ppb,210 ppb,
1019,City of West Linn,Chromium (total),0.165 ppb,,100 ppb
1020,City of West Linn,Fluoride*,0.0286 ppm,,4 ppm
1021,City of West Linn,Manganese,0.472 ppb,100 ppb,
1022,City of West Linn,Nitrate and nitrite*,0.250 ppm,0.14 ppm,10 ppm
1023,City of West Linn,Strontium,0.0379 ppb,"1,500 ppb",
1024,City of West Linn,Vanadium,1.23 ppb,21 ppb,
1025,City of West Linn,None,,,
1026,"Canyonville, City of",Haloacetic acids (HAA5)†,51.0 ppb,0.1 ppb,60 ppb
1027,"Canyonville, City of",Total trihalomethanes (TTHMs)†,27.5 ppb,0.15 ppb,80 ppb
1028,"Canyonville, City of",Fluoride,0.138 ppm,,4 ppm
1029,"Canyonville, City of",None,,,
1030,City of Roseburg,Chromium (hexavalent),0.102 ppb,0.02 ppb,
1031,City of Roseburg,Haloacetic acids (HAA5)†,19.9 ppb,0.1 ppb,60 ppb
1032,City of Roseburg,Haloacetic acids (HAA9)†,14.1 ppb,0.06 ppb,
1033,City of Roseburg,Total trihalomethanes (TTHMs)†,24.9 ppb,0.15 ppb,80 ppb
1034,City of Roseburg,Chlorate,11.4 ppb,210 ppb,
1035,City of Roseburg,Fluoride,0.161 ppm,,4 ppm
1036,City of Roseburg,Manganese,0.900 ppb,100 ppb,
1037,City of Roseburg,Strontium,0.0411 ppb,"1,500 ppb",
1038,City of Roseburg,Vanadium,1.82 ppb,21 ppb,
1039,City of Roseburg,None,,,
1040,Clarks Branch Water Association,Haloacetic acids (HAA5)†,36.0 ppb,0.1 ppb,60 ppb
1041,Clarks Branch Water Association,Total trihalomethanes (TTHMs)†,46.6 ppb,0.15 ppb,80 ppb
1042,Clarks Branch Water Association,Nitrate,0.102 ppm,0.14 ppm,10 ppm
1043,Clarks Branch Water Association,Xylenes (total),0.533 ppb,"1,800 ppb","10,000 ppb"
1044,Clarks Branch Water Association,None,,,
1045,Diamond Lake Lodge/resort,None,,,
1046,"Drain, City of",Haloacetic acids (HAA5)†,19.4 ppb,0.1 ppb,60 ppb
1047,"Drain, City of",Total trihalomethanes (TTHMs)†,45.9 ppb,0.15 ppb,80 ppb
1048,"Drain, City of",Xylenes (total),0.318 ppb,"1,800 ppb","10,000 ppb"
1049,"Drain, City of",None,,,
1050,"Elkton, City of",Haloacetic acids (HAA5)†,27.2 ppb,0.1 ppb,60 ppb
1051,"Elkton, City of",Total trihalomethanes (TTHMs)†,32.9 ppb,0.15 ppb,80 ppb
1052,"Elkton, City of",Barium,4.03 ppb,700 ppb,"2,000 ppb"
1053,"Elkton, City of",None,,,
1054,Fortune Branch Mobile Village,"Radium, combined (-226 &amp; -228)",0.43 pCi/L,0.05 pCi/L,5 pCi/L
1055,Fortune Branch Mobile Village,Barium,19.6 ppb,700 ppb,"2,000 ppb"
1056,Fortune Branch Mobile Village,Fluoride,0.204 ppm,,4 ppm
1057,Fortune Branch Mobile Village,Nitrate,0.0829 ppm,0.14 ppm,10 ppm
1058,Fortune Branch Mobile Village,None,,,
1059,"Glendale, City of",Arsenic*,0.0273 ppb,0.004 ppb,10 ppb
