,Utility name,City,People served,Zip
12,"Oakland, City of",Oakland,Population served: 954,97436
13,Porter Creek Mobile Home Park,Tenmile,Population served: 35,97436
14,Pp&l-toketee Village,Idleyld Park,Population served: 50,97436
15,"Reedsport, City of",Reedsport,"Population served: 4,784",97436
16,Rice Hill West Subdivision,Oakland,Population served: 36,97436
17,"Riddle, City of",Riddle,"Population served: 1,300",97436
18,Roberts Creek Water District,Roseburg,"Population served: 6,500",97436
19,South Umpqua Water Association,Riddle,Population served: 575,97436
20,"Sutherlin, City of",Sutherlin,"Population served: 8,060",97436
21,Tri-city Jw&sa,Myrtle Creek,"Population served: 3,500",97436
22,U.S. Forest Service Toketee Ranger Station,Roseburg,Population served: 150,97436
23,U.S. Forest Service Wolf Creek Job Corps,Roseburg,Population served: 291,97436
24,Umpqua Basin Water Association,Roseburg,"Population served: 8,900",97436
25,Umpqua Ranch Co-op,Idleyld,Population served: 161,97436
26,Union Gap Water District,Oakland,Population served: 150,97436
27,,,Population served: 0,97436
28,Winston-dillard Water District,Winston,"Population served: 8,060",97436
29,"Yoncalla, City of",Yoncalla,"Population served: 1,095",97436
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97437
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97437
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97437
3,"Florence, City of","Florence, OR","Population served:8,850",97437
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97437
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97437
6,"Creswell, City of","Creswell, OR","Population served:5,075",97437
7,"Veneta, City of","Veneta, OR","Population served:4,755",97437
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97437
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97437
0,"Enterprise, City of",Enterprise,"Population served: 1,985",97828
1,"Joseph, City of",Joseph,"Population served: 1,120",97828
2,"Lostine, City Of",Lostine,Population served: 215,97828
3,Wallowa Lake County Service District,Enterprise,Population served: 350,97828
4,"Wallowa, City of",Wallowa,Population served: 840,97828
0,North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97023
1,South Fork Water Board,"Oregon City, OR","Population served:65,000",97023
2,Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97023
3,Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97023
4,Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97023
5,Oregon City,"Oregon City, OR","Population served:33,940",97023
6,Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97023
7,City of West Linn,"West Linn, OR","Population served:25,002",97023
8,City of Milwaukie,"Milwaukie, OR","Population served:20,500",97023
9,City of Wilsonville,"Wilsonville, OR","Population served:22,729",97023
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97401
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97401
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97401
3,"Florence, City of","Florence, OR","Population served:8,850",97401
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97401
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97401
6,"Creswell, City of","Creswell, OR","Population served:5,075",97401
7,"Veneta, City of","Veneta, OR","Population served:4,755",97401
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97401
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97401
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97402
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97402
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97402
3,"Florence, City of","Florence, OR","Population served:8,850",97402
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97402
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97402
6,"Creswell, City of","Creswell, OR","Population served:5,075",97402
7,"Veneta, City of","Veneta, OR","Population served:4,755",97402
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97402
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97402
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97403
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97403
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97403
3,"Florence, City of","Florence, OR","Population served:8,850",97403
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97403
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97403
6,"Creswell, City of","Creswell, OR","Population served:5,075",97403
7,"Veneta, City of","Veneta, OR","Population served:4,755",97403
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97403
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97403
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97404
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97404
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97404
3,"Florence, City of","Florence, OR","Population served:8,850",97404
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97404
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97404
6,"Creswell, City of","Creswell, OR","Population served:5,075",97404
7,"Veneta, City of","Veneta, OR","Population served:4,755",97404
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97404
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97404
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97405
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97405
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97405
3,"Florence, City of","Florence, OR","Population served:8,850",97405
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97405
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97405
6,"Creswell, City of","Creswell, OR","Population served:5,075",97405
7,"Veneta, City of","Veneta, OR","Population served:4,755",97405
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97405
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97405
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97408
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97408
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97408
3,"Florence, City of","Florence, OR","Population served:8,850",97408
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97408
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97408
6,"Creswell, City of","Creswell, OR","Population served:5,075",97408
7,"Veneta, City of","Veneta, OR","Population served:4,755",97408
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97408
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97408
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97440
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97440
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97440
3,"Florence, City of","Florence, OR","Population served:8,850",97440
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97440
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97440
6,"Creswell, City of","Creswell, OR","Population served:5,075",97440
7,"Veneta, City of","Veneta, OR","Population served:4,755",97440
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97440
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97440
0,Burlington Water District,Newberg,Population served: 340,97024
1,Wapato Moorage Association,Portland,Population served: 74,97024
2,Manna House Church,Portland,Population served: 300,97024
3,City of Troutdale,Troutdale,"Population served: 16,020",97024
4,Corbett Water District,Corbett,"Population served: 3,300",97024
5,Cty of Gresham,Gresham,"Population served: 73,932",97024
6,"Fairview, City of",Fairview,"Population served: 9,176",97024
7,Interlachen Water People's Utility District,Fairview,Population served: 360,97024
8,Lorna Portland Water LLC,Newberg,Population served: 200,97024
9,Lusted Water District,Gresham,"Population served: 1,200",97024
10,Mayfair Moorage Inc.,Portland,Population served: 28,97024
11,Palatine Hill Water District,Portland,"Population served: 1,500",97024
12,Sigler Cove Marina,Scappoose,Population served: 150,97024
13,Pleasant Home Water District,Gresham,"Population served: 1,510",97024
14,Portland Water Bureau,Portland,"Population served: 614,059",97024
15,Rockwood People's Utilities Department,Portland,"Population served: 61,082",97024
16,Rocky Pointe Marina,Portland,Population served: 125,97024
17,Sandy Boulevard Mobile Villa,Fairview,Population served: 225,97024
18,Sauvie Island Moorage,Portland,Population served: 96,97024
19,Terrand Mobile Terrace,Silverton,Population served: 71,97024
20,Valley View Water District,Newberg,"Population served: 1,034",97024
21,"Wood Village, City of",Wood Village,"Population served: 3,907",97024
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97438
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97438
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97438
3,"Florence, City of","Florence, OR","Population served:8,850",97438
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97438
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97438
6,"Creswell, City of","Creswell, OR","Population served:5,075",97438
7,"Veneta, City of","Veneta, OR","Population served:4,755",97438
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97438
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97438
0,Buell-red Prairie Water District,Sheridan,Population served: 788,97344
1,City of Dallas,Dallas,"Population served: 14,700",97344
2,"Falls City, City of",Falls City,"Population served: 1,000",97344
3,Grand Ronde Community Water Association,Grand Ronde,"Population served: 2,500",97344
4,Independence Water System,Independence,"Population served: 8,600",97344
5,Luckiamute Domestic Water Co-op,Monmouth,"Population served: 2,738",97344
6,"Monmouth, City of",Monmouth,"Population served: 9,855",97344
7,Orchard Heights Water Association,Lyons,Population served: 500,97344
8,Perrydale Domestic Water Association,Amity,"Population served: 2,195",97344
9,Pioneer Park Co-op Inc.,Salem,Population served: 54,97344
10,Rickreall Water Association,Rickreall,"Population served: 1,650",97344
11,Rock Creek Water District,Grand Ronde,Population served: 235,97344
0,Burns Water Department,Burns,"Population served: 3,000",97710
1,G H2o Inc.,Hines,Population served: 65,97710
2,Hines Water Department,Hines,"Population served: 1,563",97710
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97439
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97439
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97439
3,"Florence, City of","Florence, OR","Population served:8,850",97439
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97439
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97439
6,"Creswell, City of","Creswell, OR","Population served:5,075",97439
7,"Veneta, City of","Veneta, OR","Population served:4,755",97439
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97439
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97439
0,Banks Water Department,Banks,"Population served: 2,070",97116
1,City of Beaverton,Beaverton,"Population served: 70,000",97116
2,City of Cornelius,Cornelius,"Population served: 12,165",97116
3,City of Forest Grove,Forest Grove,"Population served: 23,080",97116
4,City of Hillsboro,Hillsboro,"Population served: 88,243",97116
5,City of Sherwood,Sherwood,"Population served: 19,505",97116
6,City of Tigard,Tigard,"Population served: 60,236",97116
7,City of Tualatin,Tualatin,"Population served: 26,879",97116
8,Crown Mobile Home Park,Newberg,Population served: 42,97116
9,Fir Grove Homeowners Association,Hillsboro,Population served: 450,97116
10,"Gaston, City of",Gaston,Population served: 625,97116
11,Hillsboro-cherry Grove,Hillsboro,"Population served: 1,456",97116
12,Joint Water Commission,Hillsboro,"Population served: 397,769",97116
13,La Water Co-op,Gaston,"Population served: 2,500",97116
14,Laurel Acres Water Company Inc.,Cornelius,Population served: 50,97116
15,Laurelwood Water Users,Gaston,Population served: 200,97116
16,North Plains Water Department,North Plains,"Population served: 3,095",97116
17,,,Population served: 0,97116
18,Parrett Mountain View Estates,Sherwood,Population served: 140,97116
19,Rainbow Ends Water System,Hillsboro,Population served: 50,97116
20,Raleigh Water District,Portland,"Population served: 4,500",97116
21,South Hills Water System,Hillsboro,Population served: 250,97116
22,Star Satellite Improvement District,Banks,Population served: 400,97116
23,Timber Water Association,Timber,Population served: 180,97116
24,Tualatin Valley Water District,Beaverton,"Population served: 222,000",97116
25,West Laurel Acres Water Company,Cornelius,Population served: 62,97116
26,West Slope Water District,Portland,"Population served: 10,400",97116
27,Westview Mobile Estates,Eugene,Population served: 250,97116
28,Wolsborn Farms Water District,Hillsboro,Population served: 90,97116
0,Bley-was Heights Water System,Bly,Population served: 42,97626
1,Bly Water District,Bly,Population served: 352,97626
2,Chiloquin Municipal Water Department,Chiloquin,Population served: 730,97626
3,Collier Lane Homeowners Association,Klamath Falls,Population served: 60,97626
4,Crescent Water Supply & Improvement District,Crescent,Population served: 900,97626
5,Crossroads Mobile Home Park,Klamath Falls,Population served: 150,97626
6,Falcon Heights,Klamath Falls,Population served: 559,97626
7,Gilchrist Water System LLC,Gilchrist,Population served: 440,97626
8,Keno Water Co. Inc.,Keno,Population served: 290,97626
9,Klamath Falls Water Department,Klamath Falls,"Population served: 40,475",97626
10,Lakeside Mobile Home & Rv Park,Klamath Falls,Population served: 110,97626
11,Malin Municipal Water,Malin,Population served: 815,97626
12,Merrill Water Department,Merrill,Population served: 907,97626
13,Nps Annie Springs,Crater Lake,Population served: 200,97626
14,Oregon Shores Beach Club Inc.,Chiloquin,Population served: 352,97626
15,Oregon Shores Recreation Club,Chiloquin,Population served: 275,97626
16,Pine Grove Water District (klamath),Klamath Falls,Population served: 180,97626
17,Pinecrest Water Company,Klamath Falls,Population served: 78,97626
18,Pristine Water Source LLC,Klamath Falls,Population served: 250,97626
19,Round Lake Water Utilities,Klamath Falls,Population served: 250,97626
20,Oregon Water Utilities - Mountain Lakes,Klamath Falls,Population served: 770,97626
21,Shield Crest Condos,Klamath Falls,Population served: 45,97626
22,Shield Crest Water Association,Klamath Falls,Population served: 61,97626
23,Skyline View District Improvement,Klamath Falls,Population served: 250,97626
24,Sportsmans Paradise Motel/tc,Klamath Falls,Population served: 52,97626
25,Sprague River Water Association,Sprague River,Population served: 60,97626
26,,,Population served: 0,97626
0,Christmas Valley Domestic Ws,Christmas Valley,Population served: 860,97735
1,"Lakeview, City of",Lakeview,"Population served: 2,300",97735
2,"Paisley, City of",Paisley,Population served: 245,97735
3,Westwind Mobile Home Park,Lake Oswego,Population served: 104,97735
0,"Fossil, City of",Fossil,Population served: 470,97830
1,Mitchell City Water,Mitchell,Population served: 127,97830
2,"Spray, City of",Spray,Population served: 120,97830
0,City of Albany,"Albany, OR","Population served:56,100",97345
1,City of Lebanon,"Lebanon, OR","Population served:15,518",97345
2,"Sweet Home, City of","Lebanon, OR","Population served:9,065",97345
3,"Harrisburg, City of","Harrisburg, OR","Population served:3,650",97345
4,Lyons Mehama Water District,"Lyons, OR","Population served:1,300",97345
0,Burns Water Department,Burns,"Population served: 3,000",97736
1,G H2o Inc.,Hines,Population served: 65,97736
2,Hines Water Department,Hines,"Population served: 1,563",97736
0,Banks Water Department,Banks,"Population served: 2,070",97117
1,City of Beaverton,Beaverton,"Population served: 70,000",97117
2,City of Cornelius,Cornelius,"Population served: 12,165",97117
3,City of Forest Grove,Forest Grove,"Population served: 23,080",97117
4,City of Hillsboro,Hillsboro,"Population served: 88,243",97117
5,City of Sherwood,Sherwood,"Population served: 19,505",97117
6,City of Tigard,Tigard,"Population served: 60,236",97117
7,City of Tualatin,Tualatin,"Population served: 26,879",97117
8,Crown Mobile Home Park,Newberg,Population served: 42,97117
9,Fir Grove Homeowners Association,Hillsboro,Population served: 450,97117
10,"Gaston, City of",Gaston,Population served: 625,97117
11,Hillsboro-cherry Grove,Hillsboro,"Population served: 1,456",97117
12,Joint Water Commission,Hillsboro,"Population served: 397,769",97117
13,La Water Co-op,Gaston,"Population served: 2,500",97117
14,Laurel Acres Water Company Inc.,Cornelius,Population served: 50,97117
15,Laurelwood Water Users,Gaston,Population served: 200,97117
16,North Plains Water Department,North Plains,"Population served: 3,095",97117
17,,,Population served: 0,97117
18,Parrett Mountain View Estates,Sherwood,Population served: 140,97117
19,Rainbow Ends Water System,Hillsboro,Population served: 50,97117
20,Raleigh Water District,Portland,"Population served: 4,500",97117
21,South Hills Water System,Hillsboro,Population served: 250,97117
22,Star Satellite Improvement District,Banks,Population served: 400,97117
23,Timber Water Association,Timber,Population served: 180,97117
24,Tualatin Valley Water District,Beaverton,"Population served: 222,000",97117
25,West Laurel Acres Water Company,Cornelius,Population served: 62,97117
26,West Slope Water District,Portland,"Population served: 10,400",97117
27,Westview Mobile Estates,Eugene,Population served: 250,97117
28,Wolsborn Farms Water District,Hillsboro,Population served: 90,97117
0,"Canyonville, City of",Canyonville,"Population served: 1,975",97441
1,City of Roseburg,Roseburg,"Population served: 28,800",97441
2,Clarks Branch Water Association,Myrtle Creek,Population served: 140,97441
3,Diamond Lake Lodge/resort,Diamond Lake,Population served: 90,97441
4,"Drain, City of",Drain,"Population served: 1,151",97441
5,"Elkton, City of",Elkton,Population served: 200,97441
6,Fortune Branch Mobile Village,Myrtle Creek,Population served: 80,97441
7,"Glendale, City of",Cave Junction,Population served: 980,97441
8,Glide Water Association,Glide,"Population served: 1,200",97441
9,Lawson Acres Water Association,Riddle,Population served: 75,97441
10,Milo Academy,Days Creek,Population served: 150,97441
11,"Myrtle Creek, City of",Myrtle Creek,"Population served: 3,490",97441
12,"Oakland, City of",Oakland,Population served: 954,97441
13,Porter Creek Mobile Home Park,Tenmile,Population served: 35,97441
14,Pp&l-toketee Village,Idleyld Park,Population served: 50,97441
15,"Reedsport, City of",Reedsport,"Population served: 4,784",97441
16,Rice Hill West Subdivision,Oakland,Population served: 36,97441
17,"Riddle, City of",Riddle,"Population served: 1,300",97441
18,Roberts Creek Water District,Roseburg,"Population served: 6,500",97441
19,South Umpqua Water Association,Riddle,Population served: 575,97441
20,"Sutherlin, City of",Sutherlin,"Population served: 8,060",97441
21,Tri-city Jw&sa,Myrtle Creek,"Population served: 3,500",97441
22,U.S. Forest Service Toketee Ranger Station,Roseburg,Population served: 150,97441
23,U.S. Forest Service Wolf Creek Job Corps,Roseburg,Population served: 291,97441
24,Umpqua Basin Water Association,Roseburg,"Population served: 8,900",97441
25,Umpqua Ranch Co-op,Idleyld,Population served: 161,97441
26,Union Gap Water District,Oakland,Population served: 150,97441
27,,,Population served: 0,97441
28,Winston-dillard Water District,Winston,"Population served: 8,060",97441
29,"Yoncalla, City of",Yoncalla,"Population served: 1,095",97441
0,"Tillamook Water Department, City of","Tillamook, OR","Population served:4,885",97118
1,Manzanita Water Department,"Manzanita, OR","Population served:3,200",97118
2,Rockaway Beach Water District,"Rockaway Beach, OR","Population served:2,600",97118
3,Netarts Water District,"Netarts, OR","Population served:1,800",97118
4,"Nehalem, City of","Nehalem, OR","Population served:1,700",97118
0,Joint Water Commission,"Hillsboro, OR","Population served:397,769",97119
1,Tualatin Valley Water District,"Beaverton, OR","Population served:222,000",97119
2,City of Hillsboro,"Hillsboro, OR","Population served:88,243",97119
3,City of Beaverton,"Beaverton, OR","Population served:70,000",97119
4,City of Tigard,"Tigard, OR","Population served:60,236",97119
5,McMinnville Water & Light,"Mcminnville, OR","Population served:33,896",97119
6,City of Tualatin,"Tualatin, OR","Population served:26,879",97119
7,City of Newberg,"Newberg, OR","Population served:23,795",97119
8,City of Forest Grove,"Forest Grove, OR","Population served:23,080",97119
9,City of Sherwood,"Sherwood, OR","Population served:19,505",97119
0,Salem Public Works,"Salem, OR","Population served:192,000",97346
1,City of Albany,"Albany, OR","Population served:56,100",97346
2,City of Keizer,"Keizer, OR","Population served:37,505",97346
3,City of Woodburn,"Woodburn, OR","Population served:24,670",97346
4,City of Lebanon,"Lebanon, OR","Population served:15,518",97346
5,Suburban East Salem WD,"Salem, OR","Population served:13,600",97346
6,"Silverton, City of","Silverton, OR","Population served:10,325",97346
7,"Sweet Home, City of","Lebanon, OR","Population served:9,065",97346
8,Stayton Water Supply,"Stayton, OR","Population served:7,830",97346
9,"Mount Angel, City of","Mt. Angel, OR","Population served:3,450",97346
0,Salem Public Works,"Salem, OR","Population served:192,000",97026
1,City of Keizer,"Keizer, OR","Population served:37,505",97026
2,City of Woodburn,"Woodburn, OR","Population served:24,670",97026
3,Suburban East Salem WD,"Salem, OR","Population served:13,600",97026
4,"Silverton, City of","Silverton, OR","Population served:10,325",97026
5,Stayton Water Supply,"Stayton, OR","Population served:7,830",97026
6,"Mount Angel, City of","Mt. Angel, OR","Population served:3,450",97026
7,"Aumsville, City of","Aumsville, OR","Population served:3,945",97026
8,"Hubbard, City of","Hubbard, OR","Population served:3,304",97026
9,"Sublimity, City of","Sublimity, OR","Population served:2,760",97026
0,Bley-was Heights Water System,Bly,Population served: 42,97737
1,Bly Water District,Bly,Population served: 352,97737
2,Chiloquin Municipal Water Department,Chiloquin,Population served: 730,97737
3,Collier Lane Homeowners Association,Klamath Falls,Population served: 60,97737
4,Crescent Water Supply & Improvement District,Crescent,Population served: 900,97737
5,Crossroads Mobile Home Park,Klamath Falls,Population served: 150,97737
6,Falcon Heights,Klamath Falls,Population served: 559,97737
7,Gilchrist Water System LLC,Gilchrist,Population served: 440,97737
8,Keno Water Co. Inc.,Keno,Population served: 290,97737
9,Klamath Falls Water Department,Klamath Falls,"Population served: 40,475",97737
10,Lakeside Mobile Home & Rv Park,Klamath Falls,Population served: 110,97737
11,Malin Municipal Water,Malin,Population served: 815,97737
12,Merrill Water Department,Merrill,Population served: 907,97737
13,Nps Annie Springs,Crater Lake,Population served: 200,97737
14,Oregon Shores Beach Club Inc.,Chiloquin,Population served: 352,97737
15,Oregon Shores Recreation Club,Chiloquin,Population served: 275,97737
16,Pine Grove Water District (klamath),Klamath Falls,Population served: 180,97737
17,Pinecrest Water Company,Klamath Falls,Population served: 78,97737
18,Pristine Water Source LLC,Klamath Falls,Population served: 250,97737
19,Round Lake Water Utilities,Klamath Falls,Population served: 250,97737
20,Oregon Water Utilities - Mountain Lakes,Klamath Falls,Population served: 770,97737
21,Shield Crest Condos,Klamath Falls,Population served: 45,97737
22,Shield Crest Water Association,Klamath Falls,Population served: 61,97737
23,Skyline View District Improvement,Klamath Falls,Population served: 250,97737
24,Sportsmans Paradise Motel/tc,Klamath Falls,Population served: 52,97737
25,Sprague River Water Association,Sprague River,Population served: 60,97737
26,,,Population served: 0,97737
0,North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97027
1,South Fork Water Board,"Oregon City, OR","Population served:65,000",97027
2,Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97027
3,Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97027
4,Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97027
5,Oregon City,"Oregon City, OR","Population served:33,940",97027
6,Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97027
7,City of West Linn,"West Linn, OR","Population served:25,002",97027
8,City of Milwaukie,"Milwaukie, OR","Population served:20,500",97027
9,City of Wilsonville,"Wilsonville, OR","Population served:22,729",97027
0,"Canyonville, City of",Canyonville,"Population served: 1,975",97442
1,City of Roseburg,Roseburg,"Population served: 28,800",97442
2,Clarks Branch Water Association,Myrtle Creek,Population served: 140,97442
3,Diamond Lake Lodge/resort,Diamond Lake,Population served: 90,97442
4,"Drain, City of",Drain,"Population served: 1,151",97442
5,"Elkton, City of",Elkton,Population served: 200,97442
6,Fortune Branch Mobile Village,Myrtle Creek,Population served: 80,97442
7,"Glendale, City of",Cave Junction,Population served: 980,97442
8,Glide Water Association,Glide,"Population served: 1,200",97442
9,Lawson Acres Water Association,Riddle,Population served: 75,97442
10,Milo Academy,Days Creek,Population served: 150,97442
11,"Myrtle Creek, City of",Myrtle Creek,"Population served: 3,490",97442
12,"Oakland, City of",Oakland,Population served: 954,97442
13,Porter Creek Mobile Home Park,Tenmile,Population served: 35,97442
14,Pp&l-toketee Village,Idleyld Park,Population served: 50,97442
15,"Reedsport, City of",Reedsport,"Population served: 4,784",97442
16,Rice Hill West Subdivision,Oakland,Population served: 36,97442
17,"Riddle, City of",Riddle,"Population served: 1,300",97442
18,Roberts Creek Water District,Roseburg,"Population served: 6,500",97442
19,South Umpqua Water Association,Riddle,Population served: 575,97442
20,"Sutherlin, City of",Sutherlin,"Population served: 8,060",97442
21,Tri-city Jw&sa,Myrtle Creek,"Population served: 3,500",97442
22,U.S. Forest Service Toketee Ranger Station,Roseburg,Population served: 150,97442
23,U.S. Forest Service Wolf Creek Job Corps,Roseburg,Population served: 291,97442
24,Umpqua Basin Water Association,Roseburg,"Population served: 8,900",97442
25,Umpqua Ranch Co-op,Idleyld,Population served: 161,97442
26,Union Gap Water District,Oakland,Population served: 150,97442
27,,,Population served: 0,97442
28,Winston-dillard Water District,Winston,"Population served: 8,060",97442
29,"Yoncalla, City of",Yoncalla,"Population served: 1,095",97442
0,Bay Hills Water Association,Newport,Population served: 45,97388
1,Beverly Beach Water District,Newport,Population served: 152,97388
2,Carmel Beach Water District,Newport,Population served: 36,97388
3,City of Newport,Newport,"Population served: 10,160",97388
4,"Depoe Bay, City of",Depoe Bay,"Population served: 1,398",97388
5,Fall Creek Water District,Alsea,Population served: 50,97388
6,Guptil Subdivision,Otis,Population served: 28,97388
7,Hiland Water Company - Bear Creek,Newberg,Population served: 275,97388
8,Hiland Water Company - Boulder Creek,Newberg,Population served: 350,97388
9,Hiland Water Company - Echo Mountain Park,Newberg,Population served: 362,97388
10,Hiland Water Company - Riverbend Park Water System,Newberg,Population served: 172,97388
11,Hiland Water Company - Westwood,Newberg,Population served: 120,97388
12,Inn At Otter Crest,Otter Rock,Population served: 90,97388
13,Johnson Creek Water Service,Newberg,Population served: 363,97388
14,Kernville-gleneden-linc Bch Water District,Gleneden Beach,"Population served: 5,598",97388
15,Kozy Acres Water System,Waldport,Population served: 40,97388
16,Lincoln City Water District,Lincoln City,"Population served: 20,830",97388
17,Lower Siletz Water System,Lincoln City,Population served: 165,97388
18,Otter Rock Water District,Otter Rock,Population served: 175,97388
19,Panther Creek Water District,Otis,Population served: 760,97388
20,Riverside Mobile Park,Seal Rock,Population served: 32,97388
21,Salmon River Mobile Village,Otis,Population served: 75,97388
22,Salmon River Rv Park,Otis,Population served: 69,97388
23,Sea Crest,Newberg,Population served: 72,97388
24,Seal Rock Water District,Seal Rock,"Population served: 5,500",97388
25,"Siletz, City of",Siletz,"Population served: 1,200",97388
26,Sw Lincoln County Water District,Waldport,"Population served: 3,000",97388
27,Toledo Water Utilities,Toledo,"Population served: 3,645",97388
28,"Waldport, City of",Waldport,"Population served: 2,080",97388
29,"Yachats, City of",Yachats,"Population served: 1,000",97388
0,"Canyonville, City of",Canyonville,"Population served: 1,975",97443
1,City of Roseburg,Roseburg,"Population served: 28,800",97443
2,Clarks Branch Water Association,Myrtle Creek,Population served: 140,97443
3,Diamond Lake Lodge/resort,Diamond Lake,Population served: 90,97443
4,"Drain, City of",Drain,"Population served: 1,151",97443
5,"Elkton, City of",Elkton,Population served: 200,97443
6,Fortune Branch Mobile Village,Myrtle Creek,Population served: 80,97443
7,"Glendale, City of",Cave Junction,Population served: 980,97443
8,Glide Water Association,Glide,"Population served: 1,200",97443
9,Lawson Acres Water Association,Riddle,Population served: 75,97443
10,Milo Academy,Days Creek,Population served: 150,97443
11,"Myrtle Creek, City of",Myrtle Creek,"Population served: 3,490",97443
12,"Oakland, City of",Oakland,Population served: 954,97443
13,Porter Creek Mobile Home Park,Tenmile,Population served: 35,97443
14,Pp&l-toketee Village,Idleyld Park,Population served: 50,97443
15,"Reedsport, City of",Reedsport,"Population served: 4,784",97443
16,Rice Hill West Subdivision,Oakland,Population served: 36,97443
17,"Riddle, City of",Riddle,"Population served: 1,300",97443
18,Roberts Creek Water District,Roseburg,"Population served: 6,500",97443
19,South Umpqua Water Association,Riddle,Population served: 575,97443
